"Date","Price","Open","High","Low","Vol.","Change %"
"01-05-2008","3,959.65","4,290.95","4,315.95","3,917.25","7.35B","-6.22%"
"01-04-2008","4,222.10","3,860.15","4,266.00","3,738.40","7.24B","10.36%"
"01-03-2008","3,825.85","4,236.55","4,262.25","3,603.45","6.82B","-12.27%"
"01-02-2008","4,360.70","4,404.10","4,639.95","4,044.75","7.32B","0.27%"
"01-01-2008","4,349.00","5,370.35","5,563.50","3,744.45","10.19B","-18.78%"
"01-12-2007","5,354.70","4,895.85","5,364.00","4,895.85","9.07B","9.96%"
"01-11-2007","4,869.55","4,859.70","5,020.00","4,512.20","10.55B","1.30%"
"01-10-2007","4,806.85","4,206.70","4,843.65","4,129.75","10.37B","14.76%"
"01-09-2007","4,188.55","3,730.60","4,202.95","3,713.10","8.42B","12.85%"
"01-08-2007","3,711.55","3,739.30","3,793.85","3,362.80","6.24B","-1.91%"
"01-07-2007","3,783.85","3,630.00","3,883.90","3,615.65","6.36B","4.36%"
"01-06-2007","3,625.75","3,586.00","3,626.10","3,413.05","4.89B","1.74%"
"01-05-2007","3,563.65","3,421.00","3,578.60","3,318.45","5.83B","5.46%"
"01-04-2007","3,379.10","3,067.30","3,453.40","2,997.85","4.35B","7.43%"
"01-03-2007","3,145.35","3,118.75","3,193.95","2,931.00","478.20M","1.21%"
"01-02-2007","3,107.75","3,411.55","3,505.55","3,059.35","","-8.41%"
"01-01-2007","3,393.10","3,299.90","3,443.60","3,209.00","","2.98%"
"01-12-2006","3,295.05","3,298.30","3,354.40","3,026.85","","0.45%"
"01-11-2006","3,280.45","3,130.90","3,314.50","3,110.15","","5.33%"
"01-10-2006","3,114.55","2,994.55","3,145.20","2,943.25","","4.23%"
"01-09-2006","2,988.25","2,810.55","2,994.25","2,765.15","","6.42%"
"01-08-2006","2,807.95","2,553.95","2,842.15","2,536.85","","9.58%"
"01-07-2006","2,562.55","2,580.55","2,623.25","2,334.75","","0.00%"
"01-06-2006","2,562.50","2,665.75","2,680.20","2,137.80","","-2.76%"
"01-05-2006","2,635.25","3,093.70","3,223.15","2,439.60","","-14.01%"
"01-04-2006","3,064.70","2,918.60","3,071.45","2,826.80","","5.30%"
"01-03-2006","2,910.35","2,655.00","2,923.15","2,652.45","","9.45%"
"01-02-2006","2,658.95","2,593.00","2,675.40","2,543.55","","2.82%"
"01-01-2006","2,585.95","2,465.15","2,604.15","2,438.45","","5.15%"
"01-12-2005","2,459.20","2,314.05","2,468.60","2,299.25","","6.64%"
"01-11-2005","2,306.15","2,096.65","2,362.85","2,066.25","","11.53%"
"01-10-2005","2,067.80","2,282.50","2,333.10","2,016.00","","-9.07%"
"01-09-2005","2,274.00","2,134.55","2,302.30","2,134.45","","6.94%"
"01-08-2005","2,126.35","2,027.50","2,149.35","2,012.35","","4.88%"
"01-07-2005","2,027.40","1,900.85","2,044.70","1,895.40","","6.36%"
"01-06-2005","1,906.20","1,836.75","1,919.55","1,820.10","","3.89%"
"01-05-2005","1,834.85","1,698.50","1,843.35","1,681.60","","8.66%"
"01-04-2005","1,688.65","1,786.20","1,819.50","1,684.15","","-4.75%"
"01-03-2005","1,772.85","1,825.05","1,905.15","1,715.15","","-2.99%"
"01-02-2005","1,827.40","1,769.45","1,837.45","1,759.40","","3.35%"
"01-01-2005","1,768.25","1,818.55","1,841.15","1,643.95","","-2.03%"
"01-12-2004","1,804.90","1,661.55","1,806.35","1,640.95","","9.18%"
"01-11-2004","1,653.20","1,504.05","1,661.50","1,495.35","","10.06%"
"01-10-2004","1,502.05","1,478.80","1,547.35","1,469.20","","1.58%"
